epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4784,0.99076,2.73651,1.18766,0.58153,0.87454,0.69947,0.53988,0.88972,1.29863,0.99457,0.000330882,0.000330882,0.000330882
2,140.683,0.89993,1.52765,1.1161,0.57723,0.85092,0.71987,0.53844,0.85678,1.148,0.99694,0.000659832,0.000659832,0.000659832
3,192.714,0.90603,1.30545,1.10457,0.88183,0.65826,0.71774,0.54471,0.86531,1.02396,1.02439,0.000984381,0.000984381,0.000984381
4,244.14,0.89552,1.22035,1.10408,0.75437,0.87173,0.8882,0.70983,0.83772,1.00099,0.99922,0.0009802,0.0009802,0.0009802
5,295.503,0.87554,1.13932,1.09186,0.95012,0.82292,0.94148,0.73513,0.82361,0.81596,1.01046,0.0009736,0.0009736,0.0009736
6,347.773,0.8552,1.05654,1.07245,0.79477,0.79501,0.86718,0.66003,0.84578,0.84072,1.00864,0.000967,0.000967,0.000967
7,399.616,0.83402,0.95706,1.06471,0.95663,0.89378,0.95602,0.7518,0.81375,0.7069,0.98271,0.0009604,0.0009604,0.0009604
8,453.149,0.8255,0.94423,1.05595,0.86107,0.95119,0.95877,0.77125,0.80329,0.7177,0.99149,0.0009538,0.0009538,0.0009538
9,504.387,0.81864,0.92985,1.05515,0.88962,0.88503,0.95199,0.752,0.80647,0.66865,0.99132,0.0009472,0.0009472,0.0009472
10,555.859,0.81816,0.8992,1.05144,0.87464,0.7674,0.8289,0.66641,0.79574,0.79008,0.9854,0.0009406,0.0009406,0.0009406
11,607.824,0.79068,0.80563,1.03813,0.90217,0.96264,0.97491,0.77993,0.78877,0.61166,0.98177,0.000934,0.000934,0.000934
12,660.689,0.79108,0.80156,1.03423,0.89588,0.88853,0.95656,0.77112,0.78407,0.69772,0.97523,0.0009274,0.0009274,0.0009274
13,713.374,0.80123,0.79374,1.04377,0.7851,0.9637,0.97801,0.78508,0.7797,0.61063,0.9901,0.0009208,0.0009208,0.0009208
14,766.104,0.8025,0.78747,1.04025,0.84009,0.85437,0.98092,0.79314,0.78413,0.67461,0.97944,0.0009142,0.0009142,0.0009142
15,818.666,0.79341,0.76571,1.0427,0.88523,0.98462,0.97941,0.79592,0.76275,0.60229,0.96664,0.0009076,0.0009076,0.0009076
16,871.195,0.77141,0.69786,1.02806,0.90345,0.91934,0.97671,0.77582,0.78255,0.53109,0.98715,0.000901,0.000901,0.000901
17,923.401,0.78286,0.71905,1.03048,0.94803,0.95091,0.98365,0.81744,0.75753,0.50725,0.9558,0.0008944,0.0008944,0.0008944
18,975.941,0.76533,0.6856,1.02287,0.95385,0.86613,0.93746,0.75956,0.76867,0.55433,0.97185,0.0008878,0.0008878,0.0008878
